# machine: AMD Ryzen 7 9800X3D 8-Core Processor            | Microsoft Windows 10.0.26200 | .NET 8.0.13 | cores 16 | gc workstation/batch | utc 2026-08-23T15:47:44.0991993+00:00
# settings: iters=15 warmup=5 rounds=3 shuffle=True seed=12345 gc-inclusive=False memory-runs=5 surtr-gc=automatic
workload,size,surtr_ms,lua_ms,luajit_ms,csharp_ms,surtr_over_lua,lua_over_surtr,surtr_over_luajit,luajit_over_surtr,surtr_over_csharp,measures,surtr_alloc_bytes,surtr_alloc_objects,surtr_kept_objects,surtr_heap_bytes,lua_alloc_bytes,luajit_heap_bytes,csharp_alloc_bytes,spread_pct,surtr_p90_ms,surtr_p99_ms,csharp_p90_ms,csharp_p99_ms,ok
interop,300000,4.910,56.409,1.387,0.745,11.489,0.087,0.282,3.540,6.591,"host function call",0,0,0,851968,223200872,7838538,0,10.1%,5.312,5.629,0.938,1.020,ok
valueClass,300000,2.973,55.830,1.378,0.688,18.777,0.053,0.464,2.157,4.325,"value class, erased to its field",0,0,0,851968,276000880,2230702,0,4.2%,3.167,3.534,0.707,0.759,ok
generics,300000,22.251,162.319,1.379,0.753,7.295,0.137,0.062,16.133,29.546,"erased slot: box in, cast out",33600000,600000,4,851968,643200880,4285942,7200000,3.6%,23.203,23.250,1.034,1.128,ok
allocation,300000,15.087,149.348,1.525,0.837,9.899,0.101,0.101,9.892,18.021,"object allocation and collection",24000000,300000,2,851968,655200880,4287362,9600000,5.2%,15.587,15.824,1.004,1.317,ok
retainedObjects,100000,6.765,2154.832,1.676,0.244,318.522,0.003,0.248,4.037,27.760,"allocating with survivors kept alive",8000056,100001,25004,851968,129761392,4287362,3724624,7.6%,7.096,8.002,0.314,0.327,ok
switchDense,300000,5.675,92.886,1.893,0.690,16.367,0.061,0.334,2.998,8.229,"Switch jump table",0,0,0,851968,333000888,4340786,0,7.6%,6.112,6.305,0.713,0.721,ok
typeTest,300000,7.740,156.502,2.860,1.379,20.219,0.049,0.369,2.706,5.615,"InstanceOf and CastOrNull",40,1,1,851968,504001824,2249354,0,5.5%,8.106,8.222,1.696,1.800,ok
nullable,300000,5.721,54.561,1.777,0.707,9.538,0.105,0.311,3.219,8.088,"nullable primitive, absent tag",0,0,0,851968,168000880,7010218,0,4.4%,6.064,6.322,0.764,0.939,ok
enums,300000,7.778,84.127,1.769,0.711,10.816,0.092,0.227,4.396,10.943,"enum case access and comparison",0,0,0,851968,312001056,2985242,0,8.1%,8.558,9.484,0.733,0.900,ok
sortArray,20000,9.203,119.835,5.303,0.884,13.022,0.077,0.576,1.735,10.410,"native member re-entering the VM per compare",160120,1,1,851968,497876952,16704458,524624,5.4%,9.598,9.938,1.012,1.250,ok
tuples,300000,4.433,72.994,1.506,0.805,16.466,0.061,0.340,2.943,5.509,"tuple literal and element read, inline slots",0,0,0,851968,379200880,10417818,0,3.6%,4.992,5.191,0.820,0.826,ok
vec2Math,300000,31.022,500.663,0.480,0.493,16.139,0.062,0.015,64.616,62.925,"multi-field value type: construct, pass and return by value",0,0,0,851968,1857604344,1458834,0,4.0%,32.865,32.920,0.786,0.791,ok
vec2Fields,300000,34.041,560.385,8.632,0.871,16.462,0.061,0.254,3.943,39.087,"value-type fields stored inline in an instance",96,1,1,851968,1915205896,2003022,48,3.5%,35.660,36.795,1.160,1.224,ok
vec2Class,300000,47.289,504.361,0.481,1.053,10.665,0.094,0.010,98.273,44.909,"vec2Math with a reference class: the A/B for the alloc column",48000160,600002,6,851968,1857604344,1485098,19200064,4.5%,48.928,49.504,1.142,1.385,ok
tupleReturn,300000,10.831,145.802,1.496,0.767,13.461,0.074,0.138,7.240,14.125,"multi-slot return and destructuring, no tuple object",0,0,0,851968,559200888,4287966,0,7.0%,12.794,13.810,0.791,0.894,ok
